,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
count,100000.0,100000,100000,100000,100000,100000,100000,99103,100000,100000,100000.0,100000.0,99951.0,99954.0,100000,98120.0,98120.0,100000.0,100000,98120.0,98120.0,98120
unique,,99986,,23370,308,32,312,142,2,2,,,,,26,,,,,,,61970
top,,JG499426,,001XX N STATE ST,0820,THEFT,SIMPLE,STREET,False,False,,,,,06,,,,,,,"(41.883500187, -87.627876698)"
freq,,3,,280,7357,22179,10879,27469,86824,82369,,,,,22317,,,,,,,165
mean,13235163.36183,,2023-10-26 13:37:13.798159872,,,,,,,,1162.00296,11.39029,23.163540134665986,36.10853992836705,,1164763.0319608643,1887197.280350591,2023.06382,2024-01-21 23:59:44.517560320,41.84603877167466,-87.67076101563522,
min,637.0,,2001-01-01 00:00:00,,,,,,,,111.0,1.0,1.0,1.0,,0.0,0.0,2001.0,2015-08-17 15:03:40,36.619446395,-91.686565684,
25%,13230460.75,,2023-09-27 14:19:45,,,,,,,,611.0,6.0,10.0,22.0,,1153867.0,1860370.0,2023.0,2023-10-16 15:44:47,41.77227745775,-87.710438879,
50%,13266847.5,,2023-10-31 13:12:00,,,,,,,,1034.0,10.0,23.0,32.0,,1166919.0,1894227.0,2023.0,2023-11-15 15:42:18,41.865507174,-87.663046301,
75%,13303714.25,,2023-12-06 13:33:30,,,,,,,,1732.0,17.0,34.0,53.0,,1176634.0,1910683.75,2023.0,2023-12-20 15:41:19,41.9106235065,-87.62743954,
max,13725605.0,,2025-01-13 00:00:00,,,,,,,,2535.0,31.0,50.0,77.0,,1205119.0,1951503.0,2025.0,2025-03-08 15:40:26,42.022548858,-87.524531562,
std,1007025.8968239515,,,,,,,,,,710.6725406443102,7.102210087696737,13.924327314997125,21.591634673791564,,26611.526569540787,46525.454514477766,1.4942788683152026,,0.12843160606642584,0.09371017451974306,
